order_id,customer_id,order_date,country,category,unit_price,qty,discount_pct,is_promo,revenue
500000,100000,2025-09-25,USA,Haircare,7.71,2,0,False,15.42
500000,100000,2025-09-25,USA,Skincare,29.31,1,5,False,27.84
500000,100000,2025-09-25,USA,Makeup,12.29,1,0,False,12.29
500001,100001,2025-08-30,Mexico,Wellness,10.89,2,0,False,21.78
500001,100001,2025-08-30,Mexico,Skincare,22.08,1,10,False,19.87
500002,100003,2025-09-18,Mexico,Skincare,20.53,1,0,False,20.53
500002,100003,2025-09-18,Mexico,Wellness,12.11,1,0,False,12.11
500002,100003,2025-09-18,Mexico,Skincare,33.79,2,0,False,67.58
500003,100003,2025-11-29,Mexico,Skincare,17.88,1,0,True,17.88
500003,100003,2025-11-29,Mexico,Fragrance,15.03,2,15,True,25.55
500004,100005,2025-06-03,USA,Fragrance,23.3,1,15,True,19.8
500004,100005,2025-06-03,USA,Makeup,25.9,1,0,True,25.9
500005,100006,2025-07-12,Russia,Haircare,9.58,1,0,False,9.58
500006,100006,2025-10-20,Russia,Haircare,12.96,1,5,False,12.31
500007,100006,2025-12-02,Russia,Wellness,11.92,1,0,False,11.92
500007,100006,2025-12-02,Russia,Skincare,8.21,2,0,False,16.42
500008,100007,2024-05-30,Russia,Fragrance,27.64,2,0,False,55.28
500008,100007,2024-05-30,Russia,Fragrance,37.45,1,0,False,37.45
500009,100008,2024-02-07,Mexico,Fragrance,16.38,2,10,False,29.48
500010,100010,2024-07-09,Russia,Wellness,15.04,2,0,False,30.08
500010,100010,2024-07-09,Russia,Makeup,24.88,2,0,False,49.76
500011,100011,2025-08-08,Kazakhstan,Fragrance,25.3,1,5,False,24.04
500011,100011,2025-08-08,Kazakhstan,Wellness,6.41,2,0,False,12.82
500011,100011,2025-08-08,Kazakhstan,Makeup,21.99,1,0,False,21.99
500012,100014,2024-11-30,Mexico,Skincare,31.65,1,10,True,28.48
500012,100014,2024-11-30,Mexico,Makeup,22.25,1,0,True,22.25
500013,100015,2025-07-04,USA,Haircare,23.11,2,0,False,46.22
500013,100015,2025-07-04,USA,Haircare,14.3,1,0,False,14.3
500014,100016,2024-03-29,Russia,Haircare,17.0,1,0,False,17.0
500015,100018,2024-03-20,USA,Wellness,20.53,1,0,False,20.53
500015,100018,2024-03-20,USA,Fragrance,23.2,2,0,False,46.4
500015,100018,2024-03-20,USA,Haircare,9.14,1,0,False,9.14
500016,100019,2024-11-09,Kazakhstan,Fragrance,53.42,1,0,True,53.42
500016,100019,2024-11-09,Kazakhstan,Skincare,34.58,1,0,True,34.58
